player_name,club,position,minutes_played,match_played,goals,assists,distance_covered
Brooks,Wolfsburg,Defender,331,4,0,0,36.3
Trigueros,Villarreal,Midfielder,330,9,1,0,42.9
Pedro Gonçalves,Sporting CP,Midfielder,329,5,4,2,41.3
Mbabu,Wolfsburg,Defender,328,6,0,0,38.6
Solet,Salzburg,Defender,328,5,0,0,38.9
Christiansen,Malmö,Midfielder,328,4,0,0,41.9
Jordán,Sevilla,Midfielder,327,6,1,0,43.3
Herrera,Paris,Midfielder,326,6,1,0,44.3
Garmash,Dynamo Kyiv,Midfielder,325,6,1,0,42.7
Aké,Man. City,Defender,324,6,1,0,36.9
L. Nmecha,Wolfsburg,Forward,322,5,2,0,42
Solomon,Shakhtar Donetsk,Midfielder,322,5,0,0,42.3
Gómez,Sevilla,Forward,322,5,0,0,36.7
Kessié,Milan,Midfielder,321,5,0,1,41.2
Lukaku,Chelsea,Forward,320,6,2,0,31.5
Grujić,Porto,Midfielder,320,6,0,1,40.9
Paredes,Paris,Midfielder,315,5,0,0,36.9
Calabria,Milan,Defender,315,4,0,0,38.5
Orbán,Leipzig,Defender,315,4,0,0,35.6
Lovren,Zenit,Defender,315,4,0,0,34.7
Dahlin,Malmö,Goalkeeper,315,4,0,0,14.2
Evanilson,Porto,Forward,313,4,0,0,34.9
Welinton,Beşiktaş,Defender,313,4,0,0,33
Bruno,Sheriff,Midfielder,312,6,0,0,38.5
Moreno,Villarreal,Defender,309,7,1,0,41.7
Montero,Beşiktaş,Defender,306,4,1,0,34.6
Vrsaljko,Atlético,Defender,304,5,0,0,36.9
Greenwood,Man. United,Forward,304,4,1,1,38.1
Azmoun,Zenit,Forward,303,5,2,1,30.3
Malinovskyi,Atalanta,Midfielder,301,5,1,0,38.5
Sérgio Oliveira,Porto,Midfielder,300,6,1,0,39.7
Karavaev,Zenit,Defender,299,4,0,1,38.3
Sowah,Club Brugge,Forward,298,5,0,0,38.4
Ikoné,LOSC,Midfielder,297,5,1,2,35.3
Simakan,Leipzig,Defender,297,4,0,0,32
Lukebakio,Wolfsburg,Forward,296,6,0,0,35.9
Rafael Leão,Milan,Forward,294,4,1,1,32.4
Sutormin,Zenit,Midfielder,293,4,1,0,34.3
Alex Telles,Man. United,Defender,293,4,1,0,33.5
Bernardeschi,Juventus,Midfielder,292,5,0,2,36.3
Adams,Leipzig,Midfielder,292,5,0,0,38.9
Hudson-Odoi,Chelsea,Midfielder,289,5,1,2,32.3
Uribe,Porto,Midfielder,289,4,0,0,36.8
De Sciglio,Juventus,Defender,286,4,0,1,33.3
M. Olsson,Malmö,Defender,284,6,0,0,34.5
Dimarco,Inter,Defender,283,7,0,0,36.3
Capaldo,Salzburg,Midfielder,281,7,0,0,36.9
Peña,Malmö,Midfielder,281,5,0,0,32.5
Dzyuba,Zenit,Forward,277,6,0,1,31.2
Rakitić,Sevilla,Midfielder,276,5,2,1,36.4
Larsson,Malmö,Defender,275,4,0,0,32
Chukwueze,Villarreal,Midfielder,273,9,2,0,37
Rakip,Malmö,Midfielder,273,6,0,0,35.9
Rieder,Young Boys,Midfielder,272,6,1,1,38.7
Rafa Mir,Sevilla,Forward,271,6,1,1,36.4
Kampl,Leipzig,Midfielder,270,3,0,0,35.8
Verissimo,Benfica,Defender,270,3,0,0,30.2
N'Sakala,Beşiktaş,Defender,270,3,0,0,30.1
Kjær,Milan,Defender,270,3,0,0,28.6
Faivre,Young Boys,Goalkeeper,270,3,0,0,20.5
Tătăruşanu,Milan,Goalkeeper,270,3,0,0,18.6
Maignan,Milan,Goalkeeper,270,3,0,0,18.3
Trubin,Shakhtar Donetsk,Goalkeeper,270,3,0,0,15.5
Navas,Paris,Goalkeeper,270,3,0,0,13.7
Von Ballmoos,Young Boys,Goalkeeper,270,3,0,0,12.2
Fassnacht,Young Boys,Midfielder,269,3,0,0,23.3
Alan Patrick,Shakhtar Donetsk,Midfielder,268,4,0,1,37.1
Pyatov,Shakhtar Donetsk,Goalkeeper,266,3,0,0,14.2
Arthur,Juventus,Midfielder,264,6,0,0,35.2
Kenan Karaman,Beşiktaş,Forward,264,5,0,0,33.7
Wijnaldum,Paris,Midfielder,261,5,2,0,31.6
Giroud,Milan,Forward,261,5,0,0,29
Pjanic,Beşiktaş,Midfielder,261,3,0,2,32.7
Mehmet Topal,Beşiktaş,Midfielder,261,3,0,0,29.6
Di María,Paris,Forward,260,5,0,1,32.1
Djimsiti,Atalanta,Defender,260,5,0,0,31.5
Dia,Villarreal,Forward,258,8,1,0,33.3
Steffen,Wolfsburg,Midfielder,258,5,2,0,31.1
Onana,LOSC,Midfielder,257,8,0,0,34.9
Rashford,Man. United,Forward,257,5,1,0,29.5
Kuzyaev,Zenit,Midfielder,257,4,1,0,31.7
Marcos Antônio,Shakhtar Donetsk,Midfielder,256,5,0,0,36.1
Dybala,Juventus,Forward,255,5,3,1,30.6
Weah,LOSC,Forward,255,5,0,0,29.4
Meraş,Beşiktaş,Defender,253,3,0,0,29.9
Krunić,Milan,Midfielder,252,4,0,0,30.6
Iličić,Atalanta,Midfielder,249,4,1,1,29.3
Nico González,Barcelona,Midfielder,247,4,0,0,33.6
Eric García,Barcelona,Defender,247,4,0,0,29.7
Werner,Chelsea,Forward,246,5,4,2,29.8
Gudmundsson,LOSC,Defender,243,4,0,0,29.1
Sierro,Young Boys,Midfielder,240,5,1,0,28.5
André Almeida,Benfica,Defender,236,5,0,0,29.6
Šeško,Salzburg,Forward,234,6,0,0,32.1
Tolisso,Bayern,Midfielder,234,4,0,1,31.3
Dalot,Man. United,Defender,233,3,0,0,21
Klaassen,Ajax,Midfielder,232,7,1,1,33.6
Adamu,Salzburg,Forward,231,8,1,0,32.6
Dest,Barcelona,Defender,230,4,0,0,30.2
Suso,Sevilla,Forward,228,4,0,0,25.2
Herrera,Atlético,Midfielder,226,4,0,0,30.1
Stepanenko,Shakhtar Donetsk,Midfielder,225,4,0,0,30.6
Diawara,Malmö,Goalkeeper,225,3,0,0,11.1
Moi Gómez,Villarreal,Midfielder,222,6,0,1,32
Rieks,Malmö,Midfielder,222,3,1,0,27.8
Pašalić,Atalanta,Midfielder,220,5,1,1,30
Trippier,Atlético,Defender,220,3,0,0,27
Mingueza,Barcelona,Defender,219,5,0,0,27.2
Bozdoğan,Beşiktaş,Midfielder,219,4,0,0,28.3
Nuno Santos,Sporting CP,Forward,218,7,1,0,28.9
Vitinha,Porto,Midfielder,218,6,0,0,31.1
Kalulu,Milan,Defender,216,5,0,1,26.6
Dahoud,Dortmund,Midfielder,212,4,0,2,28.2
Corona,Porto,Forward,212,4,0,0,28
Nianzou,Bayern,Midfielder,212,4,0,0,25.4
Pessina,Atalanta,Midfielder,211,4,1,0,29.4
Koopmeiners,Atalanta,Midfielder,210,5,0,1,28.9
Szoboszlai,Leipzig,Midfielder,209,4,2,0,26.9
Marlos,Shakhtar Donetsk,Midfielder,206,6,0,0,25.4
Ugarte,Sporting CP,Midfielder,205,4,0,0,29.6
Yakhshiboev,Sheriff,Forward,205,3,1,0,27.9
Munir,Sevilla,Forward,204,4,0,0,26.4
Van de Beek,Man. United,Midfielder,204,4,0,0,23.5
Bornauw,Wolfsburg,Defender,204,3,0,0,22.3
Neres,Ajax,Forward,203,5,1,0,24
Haaland,Dortmund,Forward,203,3,3,0,22.3
Bruno Tabata,Sporting CP,Midfielder,201,4,1,1,28.3
Delaney,Sevilla,Midfielder,200,4,0,0,28.1
Darmian,Inter,Defender,196,5,0,0,25.1
Schulz,Dortmund,Defender,195,4,0,1,24.5
Matić,Man. United,Midfielder,194,8,0,0,24.6
Gerhardt,Wolfsburg,Midfielder,192,5,0,1,25.8
Kryvtsov,Shakhtar Donetsk,Defender,192,3,0,1,23.5
Necip Uysal,Beşiktaş,Midfielder,189,3,0,0,19.8
Chilwell,Chelsea,Defender,188,4,0,0,23.3
Moisander,Malmö,Defender,187,3,0,0,22
Montiel,Sevilla,Defender,186,4,0,0,24.9
Alex Teixeira,Beşiktaş,Midfielder,184,3,0,0,18.6
Haidara,Leipzig,Midfielder,182,4,0,0,24.4
Guerreiro,Dortmund,Defender,182,3,0,0,23.1
Vlahović,Juventus,Forward,180,2,1,0,20.9
Morato,Benfica,Defender,180,2,1,0,19.6
Bürgy,Young Boys,Defender,180,2,0,0,21.4
Vida,Beşiktaş,Defender,180,2,0,0,19.1
Bailly,Man. United,Defender,180,2,0,0,18.8
Leo Jardim,LOSC,Goalkeeper,180,2,0,0,11.1
M. Kerzhakov,Zenit,Goalkeeper,180,2,0,0,10.6
Onana,Ajax,Goalkeeper,180,2,0,0,8.4
Mudryk,Shakhtar Donetsk,Midfielder,179,6,0,0,24.2
L. de Jong,Barcelona,Forward,179,3,0,0,22.3
Rugani,Juventus,Defender,177,4,0,0,21.7
Chalobah,Chelsea,Defender,175,3,1,0,20.4
Elanga,Man. United,Forward,172,3,1,0,23
Paulo Otávio,Wolfsburg,Defender,171,4,0,0,20.2
Wolf,Dortmund,Midfielder,170,5,0,0,24.3
Pongračić,Dortmund,Defender,170,5,0,0,20.6
Sergi Roberto,Barcelona,Midfielder,169,3,0,0,22
Kean,Juventus,Forward,168,6,1,0,20.6
Gomes,LOSC,Midfielder,168,4,1,1,19.7
Óliver Torres,Sevilla,Midfielder,168,4,0,0,25.8
Lefort,Young Boys,Defender,167,3,0,0,21.1
Diallo,Paris,Defender,165,2,0,0,17.9
Ricca,Club Brugge,Defender,164,4,0,0,21.9
Tiago Tomás,Sporting CP,Forward,162,5,0,0,22.1
Van Der Brempt,Club Brugge,Defender,162,5,0,0,21.5
Tymchyk,Dynamo Kyiv,Defender,160,4,0,0,22
Ibrahimović,Milan,Forward,160,4,0,0,16.4
Saúl Ñíguez,Chelsea,Midfielder,159,5,0,0,23
Pedri,Barcelona,Midfielder,158,2,0,0,20.7
Pizzi,Benfica,Midfielder,157,6,0,0,21.2
Vormer,Club Brugge,Midfielder,156,4,0,1,20.9
Hutchinson,Beşiktaş,Midfielder,156,4,0,0,19.9
Yansané,Sheriff,Forward,156,3,1,0,21.6
Alexis Sánchez,Inter,Forward,155,6,1,1,19
Meite,Benfica,Midfielder,155,3,0,0,19.9
Fábio Cardoso,Porto,Defender,155,2,0,0,18.7
Karavaev,Dynamo Kyiv,Defender,154,6,0,0,21.6
Fati,Barcelona,Forward,154,3,1,0,19.7
Mostovoy,Zenit,Midfielder,150,5,0,0,20.9
Poulsen,Leipzig,Forward,147,4,0,1,18.8
D'Ambrosio,Inter,Defender,147,3,0,0,19.2
Schuurs,Ajax,Defender,146,3,0,1,14.4
Toni Martínez,Porto,Forward,144,6,0,0,19.6
Matheus Cunha,Atlético,Forward,142,5,0,0,18.3
T. Hazard,Dortmund,Midfielder,142,3,0,0,19
Tagliafico,Ajax,Defender,139,3,0,1,16.6
Draxler,Paris,Forward,136,3,0,0,15.1
Rıdvan Yılmaz,Beşiktaş,Defender,135,2,0,0,15.3
Sabitzer,Bayern,Midfielder,133,5,0,0,19.6
Daniel Bragança,Sporting CP,Midfielder,131,5,0,0,18.9
Diogo Gonçalves,Benfica,Midfielder,131,5,0,0,18
Wendell,Porto,Defender,131,4,0,0,16
Mechele,Club Brugge,Defender,131,3,0,0,16.5
Muriel,Atalanta,Forward,130,5,1,0,16.9
Aurier,Villarreal,Defender,129,5,0,1,15.9
Reinier,Dortmund,Forward,126,3,0,0,16.7
Marcano,Porto,Defender,126,2,0,0,14.8
Sarr,Bayern,Defender,125,5,0,0,17.3
Rekik,Sevilla,Defender,125,4,0,0,15.1
Vecino,Inter,Midfielder,124,4,0,0,18.9
Lewicki,Malmö,Midfielder,123,2,0,0,14.6
Dembélé,Barcelona,Forward,122,3,0,0,14.8
Lamela,Sevilla,Midfielder,119,4,0,0,17.6
Waldschmidt,Wolfsburg,Forward,119,3,0,0,15.6
Rebić,Milan,Forward,117,2,1,0,13
Lingard,Man. United,Midfielder,116,4,0,1,14
Abubakari,Malmö,Forward,116,4,0,0,15.3
Brobbey,Leipzig,Forward,115,5,0,0,14.3
Messias Junior,Milan,Forward,115,2,1,0,15.6
Lázaro,Benfica,Midfielder,114,6,0,0,15.6
Maceiras,Young Boys,Defender,113,3,0,0,16
Salih Uçan,Beşiktaş,Midfielder,109,5,0,0,15.4
Coutinho,Barcelona,Forward,109,4,0,0,14.3
Correa,Inter,Forward,106,5,0,0,14.8
Erokhin,Zenit,Midfielder,104,6,0,0,15.7
Shkurin,Dynamo Kyiv,Forward,104,2,0,0,14
Slimani,Sporting CP,Forward,104,2,0,0,12.4
Demir,Barcelona,Midfielder,101,3,0,0,12.8
Gosens,Atalanta,Midfielder,101,2,1,0,12.1
Traoré,Shakhtar Donetsk,Forward,101,2,0,0,10.5
Tigges,Dortmund,Forward,100,2,0,0,13.4
Sarr,Chelsea,Defender,100,2,0,0,11.9
Ranocchia,Inter,Defender,98,3,0,0,10.9
Nikolov,Sheriff,Midfielder,97,5,1,0,14.6
Zagadou,Dortmund,Defender,97,2,0,0,12.3
Mata,Man. United,Midfielder,96,3,0,0,13.2
Barkley,Chelsea,Midfielder,96,3,0,0,12.7
Andriyevskiy,Dynamo Kyiv,Midfielder,94,2,0,0,12.9
Vitinho,Dynamo Kyiv,Midfielder,93,3,0,0,13.5
Mario Gaspar,Villarreal,Defender,93,2,0,0,10.8
Verbič,Dynamo Kyiv,Midfielder,91,3,0,0,13.1
Ballo,Milan,Defender,91,2,0,0,11.6
Philipp,Wolfsburg,Forward,90,2,0,0,11.1
Hateboer,Atalanta,Defender,90,1,0,0,11.8
N'Koudou,Beşiktaş,Midfielder,90,1,0,0,10.9
Egan-Riley,Man. City,Defender,90,1,0,0,10.8
Shabanov,Dynamo Kyiv,Defender,90,1,0,0,10.7
Bondar,Shakhtar Donetsk,Defender,90,1,0,0,10.2
Lustenberger,Young Boys,Defender,90,1,0,0,10.2
Serdar Saatçı,Beşiktaş,Defender,90,1,0,0,9.5
Vitão,Shakhtar Donetsk,Defender,90,1,0,0,9.4
Ulreich,Bayern,Goalkeeper,90,1,0,0,6.2
Martínez,Leipzig,Goalkeeper,90,1,0,0,6
Pervan,Wolfsburg,Goalkeeper,90,1,0,0,5.7
Kepa,Chelsea,Goalkeeper,90,1,0,0,5.6
João Virginia,Sporting CP,Goalkeeper,90,1,0,0,5.4
Günok,Beşiktaş,Goalkeeper,90,1,0,0,4.8
Celeadnic,Sheriff,Goalkeeper,90,1,0,0,4.7
Boyko,Dynamo Kyiv,Goalkeeper,90,1,0,0,4.5
Perin,Juventus,Goalkeeper,90,1,0,0,4.3
Steffen,Man. City,Goalkeeper,90,1,0,0,4
Nanasi,Malmö,Midfielder,89,2,0,0,12.4
Florenzi,Milan,Defender,88,4,0,0,12.6
Olmo,Leipzig,Forward,88,2,0,1,10.9
Fábio Vieira,Porto,Midfielder,85,2,0,1,11
Bondarenko,Shakhtar Donetsk,Midfielder,84,2,0,0,11.8
Piątkowski,Salzburg,Defender,84,2,0,0,9.8
Nalić,Malmö,Midfielder,83,5,0,0,13.6
Korniienko,Shakhtar Donetsk,Defender,83,2,0,0,11.2
En-Nesyri,Sevilla,Forward,83,2,0,0,10.2
Supryaha,Dynamo Kyiv,Forward,81,2,0,0,10.9
De Winter,Juventus,Defender,81,2,0,0,10.8
Kulusevski,Juventus,Midfielder,80,5,1,0,14.3
Augustinsson,Sevilla,Defender,80,3,0,0,11.1
Radeljić,Sheriff,Defender,79,3,0,0,10.2
Jovane Cabral,Sporting CP,Forward,79,3,0,0,9.8
Marc Roca,Bayern,Defender,78,4,0,0,11.6
Kanga,Young Boys,Forward,75,5,0,0,10.1
Cavani,Man. United,Forward,75,4,0,0,11.7
Gökhan Töre,Beşiktaş,Midfielder,75,4,0,0,11.2
Emre Can,Dortmund,Defender,74,2,0,0,8.4
Alcácer,Villarreal,Forward,73,3,1,0,10
Esteves,Sporting CP,Defender,73,1,0,0,8.4
Rensch,Ajax,Defender,71,5,0,0,13.8
Ferran Torres,Man. City,Forward,71,1,0,0,8.1
Kehrer,Paris,Defender,70,4,0,0,8.3
Krugovoi,Zenit,Defender,68,6,0,0,11.8
Dost,Club Brugge,Forward,68,3,0,0,8.6
Diallo,Man. United,Midfielder,68,1,0,0,8.3
Henderson,Man. United,Goalkeeper,68,1,0,0,4.4
Martial,Man. United,Forward,67,2,0,0,7.1
Gagliardini,Inter,Midfielder,66,5,0,0,11.6
Rúben Vinagre,Sporting CP,Defender,63,2,0,0,7.8
Mambimbi,Young Boys,Forward,60,4,0,0,9.4
Moriba,Leipzig,Midfielder,60,3,0,0,8.7
Passlack,Dortmund,Midfielder,60,2,0,0,7.6
Bakayoko,Milan,Defender,56,3,0,0,8.1
Pezzella,Atalanta,Defender,56,3,0,0,8.1
Sudakov,Shakhtar Donetsk,Midfielder,56,2,0,0,8.3
Sandra,Club Brugge,Midfielder,56,1,0,0,6.9
Mbamba-Muanda,Club Brugge,Defender,55,3,0,0,8.7
Shepeliev,Dynamo Kyiv,Midfielder,54,2,0,0,8.7
Richards,Bayern,Defender,52,4,0,0,8.5
Julien,Sheriff,Defender,52,3,0,0,7.2
Oğuzhan Özyakup,Beşiktaş,Midfielder,52,2,0,0,7.4
Daramy,Ajax,Forward,52,2,0,0,6.4
Henrichs,Leipzig,Defender,51,4,0,0,7.2
Choupo-Moting,Bayern,Midfielder,49,4,1,0,6.7
Yusuf Yazıcı,LOSC,Midfielder,47,4,0,0,8.7
Icardi,Paris,Forward,47,3,0,0,6.5
McAtee,Man. City,Midfielder,45,1,0,0,6.2
Lovato,Atalanta,Defender,45,1,0,0,5.3
Palmer,Man. City,Midfielder,40,3,1,0,7
Paulo Bernardo,Benfica,Midfielder,39,5,0,0,8.3
Kjærgaard,Salzburg,Midfielder,38,4,1,0,7.9
Taylor,Ajax,Midfielder,38,3,0,0,6.6
Francisco Conceição,Porto,Forward,37,2,0,0,5.4
F. Nmecha,Wolfsburg,Midfielder,36,2,0,0,6.6
Pepê,Porto,Forward,34,3,0,0,5.7
Al. Miranchuk,Atalanta,Forward,33,2,0,1,4.8
Edwards,Sporting CP,Forward,32,1,0,0,4
Radonjić,Benfica,Forward,31,1,0,0,3.9
Mengi,Man. United,Defender,29,1,0,0,3.7
Wesley,Club Brugge,Forward,26,2,0,0,3.7
Mandi,Villarreal,Defender,24,2,0,0,3.7
Kudus,Ajax,Midfielder,24,2,0,0,3.5
Novoa,Leipzig,Midfielder,24,1,0,1,3.6
Lihadji,LOSC,Forward,23,3,0,0,4.5
Bernardo,Salzburg,Defender,23,2,0,1,4.2
Tijani,Salzburg,Midfielder,23,1,0,0,3.1
Ben Arfa,LOSC,Midfielder,22,2,0,0,3.6
Óscar Rodríguez,Sevilla,Midfielder,22,1,0,0,3.8
Shoretire,Man. United,Midfielder,22,1,0,0,3.3
Heaton,Man. United,Goalkeeper,22,1,0,0,1.9
Stanišić,Bayern,Defender,21,2,0,1,3.6
Knauff,Dortmund,Midfielder,20,3,0,0,5.1
Maldini,Milan,Forward,20,3,0,0,4.2
Moukoko,Dortmund,Forward,20,1,0,0,3.2
Iván Romero,Sevilla,Forward,20,1,0,0,2.7
Flávio Nazinho,Sporting CP,Defender,19,2,0,0,4
Balde,Barcelona,Defender,19,2,0,0,3.7
Tillman,Bayern,Midfielder,18,2,0,0,3.6
Peña,Villarreal,Defender,18,2,0,0,3.3
Ricard Puig,Barcelona,Midfielder,17,1,0,0,2.4
Berkay Vardar,Beşiktaş,Midfielder,17,1,0,0,1.9
Carson,Man. City,Goalkeeper,17,1,0,0,1.1
Eric Ramirez,Dynamo Kyiv,Forward,16,2,0,0,2.7
Cojocaru,Sheriff,Midfielder,15,2,0,0,3.6
Javi Serrano,Atlético,Midfielder,15,1,0,0,2.4
Agüero,Barcelona,Forward,15,1,0,0,1.9
Ramsey,Juventus,Midfielder,14,2,0,0,3.2
Kravtsov,Zenit,Midfielder,14,2,0,0,3
Bradarić,LOSC,Defender,13,1,0,0,2
Ozdoev,Zenit,Midfielder,11,1,1,0,2.2
Bruno Costa,Porto,Midfielder,11,1,0,0,2
Raba,Villarreal,Midfielder,11,1,0,0,1.7
Iborra,Villarreal,Midfielder,10,1,0,0,1.8
Bonnah,Leipzig,Midfielder,10,1,0,0,1.6
Sensi,Inter,Midfielder,9,2,0,0,2.2
Lednev,Dynamo Kyiv,Midfielder,9,1,0,0,2.1
Zhegrova,LOSC,Midfielder,9,1,0,0,1.9
Seferović,Benfica,Forward,9,1,0,0,1.8
Zakaria,Juventus,Midfielder,9,1,0,0,1.8
Dário Essugo,Sporting CP,Midfielder,9,1,0,0,1.8
Spielmann,Young Boys,Midfielder,8,1,0,0,1.5
Izquierdo,Club Brugge,Forward,8,1,0,0,1.3
Chiellini,Juventus,Defender,7,1,0,0,1.3
Dina Ebimbe,Paris,Midfielder,7,1,0,0,1.2
Sulejmani,Young Boys,Midfielder,7,1,0,0,-
Delap,Man. City,Forward,6,1,0,0,1.2
Mbete,Man. City,Defender,6,1,0,0,1.1
Kolarov,Inter,Defender,5,1,0,0,1.1
Šimić,Salzburg,Forward,4,1,0,0,1.3
Guindo,Salzburg,Defender,4,1,0,0,1.2
Dentinho,Shakhtar Donetsk,Midfielder,4,1,0,0,1
Shevchenko,Shakhtar Donetsk,Goalkeeper,4,1,0,0,0.5
Maier,Young Boys,Midfielder,3,1,0,0,1.3
Luca Pellegrini,Juventus,Defender,3,1,0,0,1
Kuznetsov,Zenit,Forward,3,1,0,0,0.9
Eile,Malmö,Defender,3,1,0,0,0.8
Ginczek,Wolfsburg,Forward,2,1,0,0,1.1
Savage,Man. United,Midfielder,1,1,0,0,1
Iqbal,Man. United,Midfielder,1,1,0,0,1
Da Graca,Juventus,Forward,1,1,0,0,0.8
Miretti,Juventus,Midfielder,1,1,0,0,0.8
Gil Dias,Benfica,Midfielder,1,1,0,0,0.7
Rodrigo Ribeiro,Sporting CP,Forward,1,1,0,0,0.7
Cojocari,Sheriff,Defender,1,1,0,0,0.5
Maouassa,Club Brugge,Defender,1,1,0,0,0.2
Zesiger,Young Boys,Defender,1,1,0,0,-
